action,object,result,result_description
Cool,Liquid,Magnetocaloric Effect,"(or Magnetothermal Effect) A magneto-thermodynamic phenomenon in which a reversible change in temperature of a suitable material is caused by exposing the material to a changing magnetic field. Also known as adiabatic demagnetisation. Can be used to attain extremely low temperatures (well below 1 K), as well as the ranges used in common refrigerators."
Cool,Liquid,Melting,A process that results in the phase change of a substance from a solid to a liquid. The internal energy of a solid substance is increased (typically by the absorbtion of heat) to a specific temperature (called the melting point) at which it changes to the liquid phase.
Cool,Liquid,Mixed Convection,Movement of fluids or gases (or particles carried by fluids or gasses) by a combination of Free and Forced Convection
Cool,Liquid,Peltier Effect,"Heat is evolved or absorbed at the junction of two dissimilar metals carrying a small current, depending upon the direction of the current. One of a number of thermoelectric effects (See Seebeck Effect and Thompson Effect)."
Cool,Liquid,Phase Change,"The transformation of a thermodynamic system from one phase to another. Most commonly used to describe transitions between solid, liquid and gaseous states of matter, in rare cases including plasma."
Cool,Liquid,Porosity,The quality of being porous - i.e. having voids or spaces within a solid substance within or through which fluids can be present.
Cool,Liquid,Pseudo Stirling Cycle,"(also known as the adiabatic Stirling cycle), is a thermodynamic cycle with an adiabatic working volume and isothermal heater and cooler, in contrast to the Stirling cycle with an isothermal working space.The working fluid has no bearing on the maximum thermal efficiencies of the pseudo Stirling cycle."
Cool,Liquid,Pulse Tube Refrigerator,A type of cryocooler having no moving parts in the low temperature part of the device making it suitable for a wide variety of applications.
Cool,Liquid,Radiation,A process in which energetic particles or waves travel through a medium or space. There are two distinct types of radiation; ionizing and non-ionizing.
Cool,Liquid,Rayleigh-Bénard Convection,Convection cells that appear spontaneously in a liquid layer when heat is applied from below.
Cool,Liquid,Reflection,"The change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound and water waves."
Cool,Liquid,Reticulated Foam,"A very porous, low density solid foam. Reticulated foams are extremely open foams i.e. there are few, if any, intact bubbles or cell windows. In contrast, the foam formed by soap bubbles is composed solely of intact (fully enclosed) bubbles. In a reticulated foam only the linear boundaries where the bubbles meet remain."
Cool,Liquid,Rubber Band Thermodynamics,"Stretching a rubber band will cause it to release heat, while releasing it after it has been stretched will lead it to absorb heat, causing its surroundings to become cooler. Heating causes a rubber band to contract, and cooling causes expansion."
Cool,Liquid,Second Sound,"A quantum mechanical phenomenon in which heat transfer occurs by wave-like motion, rather than by the more usual mechanism of diffusion. Heat takes the place of pressure in normal sound waves. This leads to a very high thermal conductivity. It is known as 'second sound' because the wave motion of heat is similar to the propagation of sound in air."
Cool,Liquid,Solvation,"(commonly called dissolution) The process of attraction and association of molecules of a solvent with molecules or ions of a solute. As ions dissolve in a solvent they spread out and become surrounded by solvent molecules. The bigger the ion, the more solvent molecules are able to surround it and the more it becomes solvated."
Cool,Liquid,Spray,"When a liquid is dispersed as a stream of droplets (atomisation), it is called a spray. Spray nozzles are used to achieve two primary functions: increase liquid surface area to enhance evaporation, or distribute a liquid over an area."
Cool,Liquid,Stirling Cycle,"A thermodynamic cycle that describes the general class of Stirling devices. The cycle is reversible: if supplied with mechanical power, it can function as a heat pump for heating or refrigeration cooling, or cryogenic cooling. The cycle is a closed-cycle (the working fluid is permanently contained within the thermodynamic system) regenerative (uses an internal heat exchanger) cycle with a gaseous working fluid."
Cool,Liquid,Supercooling,"(also known as undercooling) The process of lowering the temperature of a liquid or a gas below its freezing point, without it becoming a solid. A liquid below its standard freezing point will crystallize in the presence of a seed crystal or nucleus around which a crystal structure can form. Without any such nucleus, the liquid phase can be maintained all the way down to the temperature at which crystal homogeneous nucleation occurs."
Cool,Liquid,Supercritical Fluid,"Any substance at a temperature and pressure above its critical point. It can diffuse through solids like a gas, and dissolve materials like a liquid. Additionally, close to the critical point, small changes in pressure or temperature result in large changes in density, allowing many properties to be 'tuned'."
